kidney_cell_id,egfr_category,egfr_lower,egfr_upper,egfr_lower_inclusive,egfr_upper_inclusive,uacr_category,uacr_lower,uacr_upper,uacr_lower_inclusive,uacr_upper_inclusive,t2d_evidence_gateway,mutually_exclusive,source
G0_LT15__A0_LT30,G0_LT15,,15.0,NO,NO,A0_LT30,0,30.0,YES,NO,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G0_LT15__A1_30_LE100,G0_LT15,,15.0,NO,NO,A1_30_LE100,30,100.0,YES,YES,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G0_LT15__A2_GT100_LE300,G0_LT15,,15.0,NO,NO,A2_GT100_LE300,100,300.0,NO,YES,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G0_LT15__A3_GT300_LT5000,G0_LT15,,15.0,NO,NO,A3_GT300_LT5000,300,5000.0,NO,NO,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G0_LT15__A4_GE5000,G0_LT15,,15.0,NO,NO,A4_GE5000,5000,,YES,,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G1_15_LT25__A0_LT30,G1_15_LT25,15.0,25.0,YES,NO,A0_LT30,0,30.0,YES,NO,CONDITIONAL_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G1_15_LT25__A1_30_LE100,G1_15_LT25,15.0,25.0,YES,NO,A1_30_LE100,30,100.0,YES,YES,CONDITIONAL_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G1_15_LT25__A2_GT100_LE300,G1_15_LT25,15.0,25.0,YES,NO,A2_GT100_LE300,100,300.0,NO,YES,CONDITIONAL_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G1_15_LT25__A3_GT300_LT5000,G1_15_LT25,15.0,25.0,YES,NO,A3_GT300_LT5000,300,5000.0,NO,NO,CONDITIONAL_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G1_15_LT25__A4_GE5000,G1_15_LT25,15.0,25.0,YES,NO,A4_GE5000,5000,,YES,,CONDITIONAL_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
G2_25_LT50__A0_LT30,G2_25_LT50,25.0,50.0,YES,NO,A0_LT30,0,30.0,YES,NO,CONDITIONAL_DOMAIN_REPRESENTATION,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/
